[00:01.140] 2020年7月6号与工装客户E3板教授录音来二位给我来，
[00:07.360] 我给你安装那软件了，看好了，
[00:10.500] 一会儿我给你弄了，
[00:13.690] 这个姓氏念什么抗来，你要是跟我来
[00:18.700] 了，
[00:20.280] 行快出就行。
[00:23.160] 来好了，对我到时候弄。
[00:27.640] 打电话出来了。
[00:39.200] 好谢谢。
[00:41.390] 行。
[00:50.630] 我姓郭，郭进，负责您这个车的功能介绍，前面的话横穿帮您订车出生大小保险，我这儿负责一个功能的讲解，
[00:58.870] 包括对时常咱们差不多40分钟，
[01:02.790] 首先您买的是一三百，
[01:04.990] 然后车架号
[01:07.290] 527625，跟您初始的合同还有大片都是完全对应的。
[01:15.070] 黑车棕内没错吧？
[01:17.650] 这是车架号，晚上762527栋。
[01:21.600] 外观内饰您检查一下没问题，咱们就讲功能，之前有开过奔驰车辆俩过来我家。
[01:27.480] 行，哪位主要该坐副驾，因为做后边咱们就赶快问一下，你们到下边。
[01:41.440] 好热队。
[01:43.120] 车上有一个
[01:45.680] 梅赛德斯me互联的功能，就是刚才您下的软件，我待会给您注册激活。
[01:52.720] 后天我接个电话。
[01:54.310] 您好。
[02:01.140] 怎么了您？
[02:17.090] 您什么车型？
[02:18.790] 一吗？
[02:20.480] 介绍C
[02:23.690] 为
[02:26.450] 为
[02:31.510] 为。
[02:39.680] 我先说一下无钥匙启动是标配踩刹车，按下启动键，钥匙在车内车上就打着了。
[02:46.350] 咱们车上的座椅调节
[02:48.230] 抱歉了。
[02:51.890] 您好。
[02:57.990] 我知道。
[02:58.960] 你听我说，你在
[03:01.240] 车辆选项
[03:04.930] 右边单
[03:06.340] 对车辆设定，
[03:08.750] 他不横着有一排功能，
[03:11.290] 第一个应该是辅助对吗？
[03:14.410] 快捷辅助。
[03:16.300] 第三个是什么？你告我一下。
[03:20.710] 兑点车辆进去。
[03:23.960] 然后你上下划有一个方便出入功能，看到吗？
[03:41.560] 你往下滑。
[03:47.960] 没有吗？
[03:50.210] 你这么着你等会我待会我现在教着车友客户，我完事我找一下S给你看一眼，然后我待会给你回过去行吗？
[03:58.290] 稍微晚一点。
[04:04.300] 你才方便是吗？
[04:06.990] 行没问题。
[04:08.870] 好没事拜拜。
[04:11.050] 抱歉。
[04:12.990] 座椅调节，奔驰车辆都在门市大扭，前后高低，
[04:17.870] 包括您的靠背，
[04:19.310] 头枕都是电控，小妞好展示。
[04:22.960] 对。
[04:24.640] 上下对折。
[04:25.950] 小妞前后推座椅能放长，
[04:28.860] 增加应怎么支撑后肢，对我可以回下来，对后头就回去了，您越长越舒服吗？支撑。
[04:36.000] 条纹自己的位置，这座椅的有记忆，比如说这个位置您调完了合适，按一下M对应数字，
[04:42.580] 滴一声以后这个位置就锁定了。
[04:45.230] 比如先生你看它位置更靠后，
[04:47.820] 他调完以后存一个其他位置，
[04:50.580] 您开恩一就是您自己的位置它就自动复原了，
[04:54.390] 不用来回倒调三台M
[04:58.450] 前排座椅都有加热，冬天用的很多手动的减少耕地可以，这个是副驾调节，点亮以后，我在动作也是您的位置，
[05:07.210] 方便司机帮助诱惑小座位。
[05:11.460] 没事瞧瞧这条副驾的，
[05:14.410] 不亮灯就条自己的量东西调附件的，他自己不能藏，对，那是饮您这是曾经自己的，我点亮是方便我帮助优厚调座位的，
[05:25.090] 给他后边空间大一些，这样
[05:27.920] 我舅舅很长的队。
[05:33.270] 你好。
[05:34.480] 张总我明天。
[05:36.850] 来你给我看看珠宝匣是吧？开电梯给我。
