[00:00.140] 一带出去搞，
[00:29.490] 电影票拿走了，
[00:31.230] 简直62691对账。
[00:36.510] 谁？
[00:38.640] 三？
[02:00.040] 你好，请问刘先生吗？
[02:01.740] 我是本田销售顾问梁宇，这是我名片，谢谢欢迎第一次来我们店里吗？对第一次。
[02:07.990] 就打电话约过是吧是吗？
[02:09.640] 没记录。
[02:10.570] 之前是吧？
[02:11.420] 对第三方有记录对。
[02:15.690] 之前
[02:16.660] 好久了，我可能这样保养。
[02:20.110] 保时捷的时候发出来的，后面看看大计的一个东西。
[02:24.410] 这个车他是你们改装过的是吗？原厂选配的有本事包括数据
[02:30.050] 金属包括试一下。
[02:32.650] 他如果说是
[02:34.320] 因为我在网上看价格好像是973,800，
[02:38.040] 但是我看还有降价是这样，还有一个因为88万多，
[02:42.520] 好久万一分您的审批的
[02:45.050] 多少？
[02:46.520] 其实你们裸车是不卖的。
[02:48.510] 对。
[02:49.480] 卖了卖。
[02:50.720] 在这边喝点什么水不用，主要事项了解，你真给我媳妇给买行。
[02:57.960] 这是奔驰现居住服务公约。
[03:00.240] 我们也会给服务业里做整体的介绍，客户为尊有点相待，重新经营，合法得体，
[03:05.990] 明码标价，公开透明，P站需要进行公示，
[03:08.870] 绝不捆绑销售，手机消费就不用加价一次6号这不一样，你购买奔驰每天8克cmd继续卖，买车价格高，直接4008181884服务金融电话，
[03:20.160] 迈巴赫的这边也没有授权，我们也是
[03:23.360] 这个车是有些损，而且可能为0，轮毂跟刘安全带都是选择的安全带，包括龙骨、车漆，
[03:32.570] 这些方案付费的，包括360以下活动之声，123的朋友他抬头显示器，
[03:40.670] 这些都是选择的。
[03:41.980] 园长选不是后期店里加的，比如说我们在假如你买这台车，
[03:46.340] 我们在验车的时候直接体验过，后期不用备案，
[03:50.510] 都是谈到车的价格里面，
[03:53.120] 比如说我买个我配的车，然后
[03:58.770] 用了之后，然后比如说我又想改装的话，你们店也是改不了了。
[04:03.330] 你再改就去外面改，或者说
[04:05.760] 给你找给业主改，改完以后的话，
[04:09.070] 交警部门
[04:10.560] 然后年检的时候你需要给框过来新的，
[04:14.620] 那就麻烦一点。
[04:16.920] 就说要不就是园长我能选园长选，
[04:22.120] 能源
[04:23.280] 远场20千米。
[04:24.980] 远场应该是19算了，对，就选择20车其实挺漂亮的。
[04:29.620] 这台车的其实还不错，因为我们在封面考的话就强了，这块往前亚光宝石蓝的作为封面的颜色。
