[00:00.000] 数据、
[00:01.330] 数据。
[00:03.680] 车坏了。
[00:09.980] 吃饭
[00:12.760] 宝贝
[00:21.080] 的
[00:24.080] 0。
[00:39.480] 中午你。
[00:40.990] 您好，东西都向先生对你好，肯定没病超过文章中，好谢谢第一次来我们店平均。
[00:48.110] 之前电话约过吗？没有是吧？
[00:51.060] 两位喝点什么有茶、咖啡、可乐、雪碧什么的。
[00:58.000] 没雪碧了，谢谢，咱得做着行行吧？
[01:04.430] 那座上放着来说。
[01:08.010] 说了。
[01:21.690] 我舅妈我用了什么？
[01:25.340] 你不要穿的，
[01:29.370] 我看也不怎么上，你先做坏了，要是我要这个月我要完了我再挖出来，
[01:38.960] 我没带手机。
[01:41.160] 然后其实我
[01:43.090] 我知道，但是我要承担这个费用不愿意吗？微信别扭，我都没发现干嘛。
[01:51.130] 必须的。
[01:52.960] 复印完了。习近平没有了，咱们请告诉。
[01:58.930] 看看E级车什么的吗？
[02:01.570] 的。
[02:06.600] 对，然后您第一次来简单跟您说一下，咱奔驰由于服务公约，
[02:14.290] 咱们所有的价格都是明码标价，公开透明。
[02:18.050] 然后配件渠道信息公示绝不捆绑，销售强制消费。
[02:23.670] 绝不使用假假以次冲好，然后下边有个服务监督电话4008181188，
[02:30.010] 然后如果您要考虑做金融分期的话，也是不收取金融服务费。
[02:35.310] 好吧？北京指标咱们这边。
[02:38.660] 没错，他那有我这没有
[02:41.660] 有考虑置换还是有线条的？
[02:43.910] 等等放下，我自己现在有的三周北京行那不行。
[02:50.650] 等于说现成的指标是吧？
[02:52.760] 现在用的什么车，感觉怎么样这样？
[02:55.200] 的还有好多，好，行，看看一的话看看哪款，咱们分成有1260。
[03:02.020] 第三版时尚，还有13买的豪华舒享版，
[03:06.580] 您刚才做的是13买的，第三把的豪华版，然后门口OK量的话是E260，
[03:13.520] 720的话它指导价的话是429,800。
[03:17.370] 然后13版的时尚是465,800。
[03:20.660] 然后13版的书想是豪华那款是499,800，然后北京指标的话咱们现在都是优惠7万块钱。
[03:29.340] 我们先看一看。
[03:37.440] 预算上有控制吗这边？
[03:39.750] 看的话40上下全部下来，那就看到12608，
[03:45.270] 指导价的话429,800，因为七八=40 359,800，
[03:51.030] 您落地的话基本上在40多一点。
[03:54.450] 有点半信半疑。
[03:56.280] 对。
[04:19.950] 他买的衣服，
[04:29.560] 这辆车的话，它发动机的话就是1.5的发动机，然后带一个48伏的电机，就是新兴的。
[04:38.770] 您这边考虑的全款还是清晰的买应该是全款。
[04:45.350] 只能给您介绍一下这车。
[04:47.620] 首先这款车的灯光的话用的是SB中的
[04:51.650] 更节能一些风险，并而且它属于生命正常，
[04:55.370] 而且他们立即性的悬挂是软件可以真的是合格的，您不需要去
[05:00.800] 舒服页面得到的重点，谁知他们到底通过
[05:05.780] 然后雷达的话，整个车身12，雷达前有后6一共12，
[05:10.130] 倒车镜下就标配都有。
[05:12.410] 然后这款车还有自动泊车，
[05:15.530] 驾驶员座电厂刹车油门方向访问都是不需要自己调节的，全部都自动化。
[05:22.100] 然后全景天窗是标配的，
[05:24.780] 后排这个是12606加强版的，
[05:28.580] 整个车的轴距的话就是3米06，
[05:31.420] 后排空间的话都比较丰富一些，
[05:34.200] 然后内需的话文化大于增强，
[05:46.180] 朋友买了。
[05:47.650] 号。
[05:51.050] 的
[05:53.660] 数据库。
[06:01.230] 谁知
[06:11.080] 这样话，
[06:17.890] 如果这样
[06:19.360] 反正是轿车还是
[06:21.880] 我情况。
[06:23.200] 因为你
[06:24.760] 本来体格就到了，你开着小车的憋屈，你知道吗？
[06:31.390] 如果你要是假的不能三当然我车谁知
[06:37.610] 颜色的话还有的商量，
[06:42.290] 谁知
[06:44.490] 突然他
[06:48.690] 想必的话
[06:52.250] 他瞬间数据史料。
[06:55.090] 你加入那个号码。
[06:59.290] 谁知
[07:00.640] 后台来说，如果你要是
[07:02.350] 偶尔的话做各方面小时什么的，倒第二还行。
[07:05.830] 你要是真的后边坐个成年人，你就做了三四个小时，你们后边人受不了
[07:10.130] 了。
[07:10.960] 动不了。
[07:12.540] 然后这边到时候您要看好车群的话，咱们可以约一下，只能私下说。
[07:17.190] 咱们再约一下，比如说咱们可以利用周六上午10:00表演等等。
[07:22.750] 行，您再看看，我看看了。
[07:25.130] 是吧？我们需要的话大致会在现在还要我们看一下。
[07:28.200] 明天的话这边为您登记的时候，明天还得给您做回访计划东西。
[07:32.830] 我看上午方便下午吗？
[07:34.890] 明天。
[07:36.440] 下午。
[07:37.200] 下午上午行，如果你要开车来的话，一会走的时候在严查这考虑新车。
[07:41.880] 可以免费停车，三个小时要走到该收费了。
[07:45.380] 好吗？
[08:07.340] 接完了。
[08:09.800] 三。
[08:13.350] 多一分钟都不想。
[08:18.090] 因为这客户跟我要保养，
[08:19.820] 但是这车也讲D我还跟他没跟谁告诉他，
[08:24.030] 他现在要保养以后直接跟他说吗？我还怎么来，因为抽检卖出检测肯定会有点问题，到时候再跟他说。
[08:33.680] 该不该告诉他？
[08:35.220] 抽检车。
[08:38.490] 他交给初见
[08:40.020] 你就改革。
[08:41.310] 有吗这车？
[08:42.020] 有800的
[08:43.950] 有两个场地，
[08:54.320] 直接就这么跟他说。
[08:57.490] 你想干啥？
[08:59.250] 你想选结一笔。
[09:15.630] 号。
